id,name,description,currency,amount
486,dui,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",EUR,8.09
487,aenean fermentum donec,Curabitur gravida nisi at nibh.,EUR,75.25
488,orci luctus et ultrices,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,CRC,52.4
489,lorem ipsum,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",CNY,57.84
490,blandit lacinia erat vestibulum,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,CRC,35.67
491,congue,In eleifend quam a odio. In hac habitasse platea dictumst.,BBD,5.26
492,mauris lacinia sapien,Etiam pretium iaculis justo.,PHP,49.22
493,diam,Proin eu mi. Nulla ac enim.,IDR,55.81
494,id turpis integer,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",IQD,24.83
495,cursus id,In sagittis dui vel nisl. Duis ac nibh.,CZK,79.02
496,aliquet ultrices,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",RUB,60.51
497,habitasse platea,Pellentesque viverra pede ac diam.,EUR,32.44
498,purus,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,CNY,10.06
499,in hac habitasse platea,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",EUR,15.69
500,venenatis lacinia,Donec posuere metus vitae ipsum. Aliquam non mauris.,VND,61.25
501,proin,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,EUR,79.66
502,at ipsum,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",PEN,97.12
503,duis,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,HNL,76.7
504,turpis enim,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",USD,52.56
505,velit donec diam,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",CNY,42.88
506,volutpat eleifend donec ut,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",CNY,24.36
507,libero nullam sit amet,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,IDR,79.97
508,lacinia aenean sit,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",BRL,19.21
509,fusce posuere felis sed,Nullam varius. Nulla facilisi.,CNY,56.78
510,egestas metus aenean,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",YER,32.01
511,ipsum,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,HNL,2.65
512,fringilla,In sagittis dui vel nisl. Duis ac nibh.,EUR,35.11
513,ac consequat,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",CNY,53.07
514,augue quam,Fusce consequat. Nulla nisl. Nunc nisl.,SAR,46.77
515,aliquam non,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",UAH,63.63
516,aenean,Nullam molestie nibh in lectus. Pellentesque at nulla.,CNY,9.12
517,venenatis,Phasellus in felis. Donec semper sapien a libero. Nam dui.,IDR,65.43
518,at nunc commodo,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,PLN,17.53
519,pede libero quis,Vestibulum rutrum rutrum neque.,EUR,46.22
520,suspendisse accumsan tortor,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,PHP,38.26
521,phasellus in felis,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",TZS,49.57
522,augue quam sollicitudin,Morbi quis tortor id nulla ultrices aliquet.,PLN,58.72
523,ligula suspendisse,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",CNY,29.97
524,fringilla rhoncus,Etiam justo.,PLN,39.66
525,vel nisl duis ac,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",PLN,74.29
526,leo odio,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",CAD,24.17
527,justo pellentesque viverra pede,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",UAH,30.38
528,amet cursus,Pellentesque ultrices mattis odio. Donec vitae nisi.,USD,8.24
529,vestibulum rutrum,Curabitur in libero ut massa volutpat convallis.,CNY,18.28
530,suscipit ligula,Phasellus sit amet erat. Nulla tempus.,CNY,57.29
531,non pretium,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",CAD,90.05
532,sed augue aliquam erat,Aenean lectus.,UAH,27.36
533,imperdiet et,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,CNY,88.68
534,felis ut at,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",IDR,58.27
535,nam ultrices,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",BRL,91.15
536,pretium iaculis,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",RUB,15.37
537,mattis egestas,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,PHP,93.24
538,metus,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",RUB,46.09
539,turpis elementum ligula,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",EUR,25.28
540,faucibus orci luctus et,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",CNY,18.69
541,eu,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,THB,7.11
542,eget congue eget semper,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,XOF,10.34
543,tincidunt eu felis fusce,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,EUR,55.44
544,eleifend quam a odio,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,PHP,53.51
545,lorem ipsum dolor,Aliquam erat volutpat. In congue. Etiam justo.,IDR,93.49
546,venenatis,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",EUR,15.97
547,nullam molestie nibh,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,CZK,65.12
548,felis fusce,In hac habitasse platea dictumst.,CNY,52.99
549,quis tortor id nulla,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",CNY,60.26
550,volutpat convallis morbi,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",JPY,54.11
551,felis fusce,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",PHP,65.31
552,imperdiet,Ut tellus.,USD,44.26
553,nec nisi volutpat,Pellentesque at nulla. Suspendisse potenti.,PLN,37.19
554,sed,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,SEK,56.35
555,arcu libero rutrum,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",CNY,90.36
556,integer non,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",CNY,19.79
557,sit amet,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",IDR,76.86
558,in,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",NZD,87.49
559,dolor quis odio consequat,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",MXN,66.03
560,libero,Nunc nisl.,COP,62.31
561,erat quisque erat eros,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",EUR,5.79
562,sagittis nam congue,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",BAM,7.01
563,cras mi,Fusce consequat.,PHP,67.8
564,nec sem duis aliquam,Integer tincidunt ante vel ipsum.,CNY,56.23
565,convallis eget eleifend luctus,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,IDR,97.62
566,duis ac nibh,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",RUB,91.15
567,ligula in lacus curabitur,Quisque ut erat.,CZK,37.79
568,ullamcorper,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,NIO,51.38
569,vel pede morbi,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",IDR,12.72
570,posuere felis sed,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",BRL,95.91
571,vestibulum sit,In hac habitasse platea dictumst.,PLN,45.69
572,nibh ligula,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,XPF,94.18
573,vestibulum ante ipsum primis,Vivamus vestibulum sagittis sapien.,CNY,49.95
574,aliquam non,Nullam varius. Nulla facilisi.,EUR,14.59
575,faucibus orci luctus,Phasellus id sapien in sapien iaculis congue.,EUR,92.06
576,odio,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",EUR,41.86
577,curae nulla dapibus dolor,Duis mattis egestas metus.,BRL,55.59
578,iaculis congue vivamus metus,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",UAH,16.44
579,est lacinia,Nulla nisl. Nunc nisl.,VND,56.1
580,aliquet massa,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,BRL,26.44
581,rhoncus aliquet pulvinar sed,Pellentesque at nulla.,CNY,45.47
582,eget eros elementum,Nunc purus. Phasellus in felis.,IDR,52.76
583,volutpat dui,Quisque ut erat.,CNY,84.07
584,velit id,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",CNY,82.67
585,pulvinar nulla,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,IDR,39.59
586,pede,Morbi a ipsum. Integer a nibh.,BYR,42.54
587,libero quis orci,Quisque ut erat. Curabitur gravida nisi at nibh.,YER,39.68
588,morbi quis,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",HNL,98.54
589,consequat nulla,Integer tincidunt ante vel ipsum.,BYR,70.23
590,ipsum dolor sit,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",RUB,98.73
591,lectus in quam,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",JPY,76.16
592,at lorem integer,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,EUR,43.18
593,tellus in,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,XAF,46.22
594,eget eleifend luctus ultricies,Vivamus vel nulla eget eros elementum pellentesque.,AFN,45.85
595,molestie hendrerit at vulputate,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,TND,63.63
596,posuere cubilia,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,CNY,53.68
597,fusce lacus,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",PHP,29.82
598,est lacinia nisi,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,EUR,83.46
599,id mauris vulputate elementum,Quisque ut erat.,RUB,82.8
600,congue diam id ornare,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,IDR,15.59
601,quis lectus suspendisse potenti,Sed vel enim sit amet nunc viverra dapibus.,USD,17.37
602,ante ipsum primis,Integer a nibh.,CAD,4.23
603,libero ut,Pellentesque at nulla.,BRL,21.48
604,metus aenean,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,IDR,30.26
605,dui vel,Maecenas ut massa quis augue luctus tincidunt.,CNY,10.99
606,sapien,Morbi quis tortor id nulla ultrices aliquet.,PEN,15.76
607,dui luctus,Suspendisse ornare consequat lectus.,PHP,55.66
608,lectus in,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",CNY,58.63
609,enim blandit mi,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",ARS,72.97
610,ligula suspendisse ornare,Nunc purus. Phasellus in felis.,CNY,47.26
611,ullamcorper,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",PHP,47.62
612,vestibulum rutrum,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,KRW,37.98
613,in eleifend,Praesent blandit lacinia erat.,MNT,38.95
614,eleifend donec,In eleifend quam a odio. In hac habitasse platea dictumst.,CNY,41.8
615,ultrices posuere cubilia curae,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",IDR,45.34
616,sapien non,Aenean lectus.,CNY,82.82
617,quam,In hac habitasse platea dictumst.,EUR,76.21
618,justo nec,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,AOA,22.31
619,vitae ipsum aliquam,Pellentesque ultrices mattis odio. Donec vitae nisi.,CNY,75.73
620,scelerisque quam,Nulla justo.,CAD,67.35
621,pretium nisl ut,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",EUR,12.07
622,accumsan odio curabitur,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",SEK,86.86
623,id,Maecenas ut massa quis augue luctus tincidunt.,PEN,58.52
624,elementum pellentesque quisque porta,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,EUR,17.79
625,donec diam neque vestibulum,Nam dui.,CZK,15.53
626,elementum nullam varius nulla,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",CNY,13.74
627,cubilia,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",NOK,87.92
628,congue elementum in hac,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",CNY,62.08
629,imperdiet nullam orci pede,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",RUB,90.87
630,nulla,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",PEN,8.47
631,quisque arcu libero,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",PLN,70.95
632,massa donec dapibus duis,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,CNY,38.3
633,faucibus orci luctus,Phasellus in felis.,CNY,2.71
634,sed ante vivamus,Donec dapibus.,IDR,14.1
635,vestibulum ante ipsum primis,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,ZAR,29.23
636,odio curabitur convallis,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,DOP,23.42
637,sapien,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",CAD,13.61
638,a odio,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",EUR,33.51
639,nulla mollis molestie lorem,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",CNY,32.53
640,mattis pulvinar,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",IRR,94.67
641,massa id nisl venenatis,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",MXN,30.24
642,donec semper sapien,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",MUR,60.56
643,est risus auctor sed,In sagittis dui vel nisl. Duis ac nibh.,CNY,2.72
644,ultrices erat,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,CNY,85.08
645,vel ipsum praesent blandit,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",IDR,38.25
646,eu massa,Integer ac neque. Duis bibendum.,IDR,18.63
647,tempus sit amet sem,Duis bibendum.,CNY,30.79
648,posuere,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",EUR,26.75
649,in hac habitasse,Mauris lacinia sapien quis libero.,IRR,29.5
650,at lorem integer tincidunt,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,THB,78.33
651,maecenas leo odio condimentum,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",CNY,31.4
652,sapien arcu sed,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",IDR,57.47
653,lacus,Nullam sit amet turpis elementum ligula vehicula consequat.,IRR,65.11
654,non pretium quis lectus,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",CNY,41.62
655,nunc nisl duis,Aliquam non mauris. Morbi non lectus.,UAH,38.51
656,sed tristique,Praesent lectus.,BRL,6.76
657,mollis,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",TZS,82.19
658,montes nascetur ridiculus mus,Morbi a ipsum. Integer a nibh. In quis justo.,BRL,7.84
659,tincidunt ante,Integer ac neque. Duis bibendum.,BRL,75.85
660,quam fringilla,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",CNY,47.38
661,amet eros suspendisse,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,PLN,1.83
662,interdum venenatis turpis,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,CNY,5.15
663,blandit,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",CNY,43.52
664,tristique est,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",EUR,95.25
665,quam fringilla,Vivamus tortor.,RUB,25.68
666,suspendisse accumsan tortor,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,PLN,1.64
667,est et tempus semper,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",MYR,5.95
668,lacus,In congue.,LKR,32.35
669,sed nisl nunc,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",PHP,91.82
670,turpis,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",THB,49.56
671,accumsan tortor,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",IDR,99.83
672,venenatis non sodales sed,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,VND,67.85
673,purus aliquet,Vivamus vel nulla eget eros elementum pellentesque.,USD,22.17
674,purus phasellus in felis,Fusce posuere felis sed lacus.,NPR,32.96
675,magnis dis parturient montes,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",MNT,44.8
676,aenean,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",CZK,64.04
677,donec,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",ARS,18.62
678,phasellus id,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,GTQ,91.64
679,felis eu,Vivamus tortor. Duis mattis egestas metus.,CNY,6.62
680,rutrum at lorem,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,RUB,80.92
681,nisi vulputate nonummy maecenas,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",EUR,83.35
682,tortor quis,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,USD,90.73
683,porttitor id consequat,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",CNY,28.64
684,sit amet,In hac habitasse platea dictumst.,IDR,55.91
685,viverra dapibus,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,IDR,87.49
686,in hac,Aliquam erat volutpat.,CNY,62.81
687,fusce consequat nulla nisl,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",USD,61.49
688,id,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",USD,89.23
689,nulla mollis molestie,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,EUR,18.95
690,vivamus tortor,Mauris ullamcorper purus sit amet nulla.,CNY,2.56
691,neque libero convallis eget,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,MAD,14.4
692,facilisi cras,In eleifend quam a odio.,EGP,57.85
693,morbi,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",BRL,85.81
694,morbi vestibulum velit id,Cras in purus eu magna vulputate luctus.,CNY,17.5
695,posuere metus vitae ipsum,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",EUR,58.04
696,morbi a ipsum integer,Phasellus in felis.,AMD,90.37
697,curabitur at,Nam tristique tortor eu pede.,JMD,36.03
698,massa id nisl,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,IDR,36.75
699,maecenas tincidunt lacus at,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,JPY,51.4
700,potenti nullam porttitor,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",CNY,11.08
701,mattis egestas,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,JPY,34.24
702,tellus in sagittis dui,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",CNY,43.89
703,nunc commodo placerat,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",IRR,55.53
704,integer ac,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,CZK,60.74
705,molestie nibh,Sed accumsan felis. Ut at dolor quis odio consequat varius.,IDR,61.93
706,vel sem sed sagittis,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",IDR,44.83
707,purus phasellus,Etiam pretium iaculis justo.,IDR,88.75
708,vestibulum ante ipsum primis,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",XAF,47.98
709,suscipit ligula,Nam tristique tortor eu pede.,CNY,69.11
710,nam congue risus,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",CNY,44.88
711,nisi venenatis tristique,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",ARS,6.97
712,sed lacus morbi,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",PHP,18.4
713,vel est,Integer ac leo. Pellentesque ultrices mattis odio.,CAD,47.06
714,lacus curabitur at,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",CNY,17.04
715,lacinia erat vestibulum sed,Nulla tellus.,MDL,68.21
716,fusce posuere felis,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,PEN,44.33
